id,evaluation,texts,my_labels,predicted,prediction_class,error_type,clean_texts
86,validate,"<U+0001F409> <U+0001F525>Follow the official @georgejacksongrassroots movement page now!

.
.
#grassroots 
#grassrootsorganizing 
#grassrootsorganizations 
#grassrootsorganization 
#newafrikanindependencemovement 
#newafrikans
#newafrikanguerrillas 
#georgejacksongrassrootsmovement
#georgejackson 
#georgejacksonquotes 
#georgejacksonuniversity 
#georgejacksonradio 
#newafrikanpoliticalprisoners 
#freeallpoliticalprisoners 
#politicalprisonersofwar
#communityorganizations 
#communityorganizing 
#communityorganizer 
#soledadbrothers 
#transformingthecriminalmindintoarevolutionarymind 
#turningcagesintouniversities 
#viralpage
#viralpages
#viralpost 
#viralpost
#viralinstagram 
#explorepage
#organization 
#organizing 
#communityorganization",neutral,positive,neutral-positive,enthusiasm,U+0001F409 U+0001F525 Follow the official georgejacksongrassroots movement page now !  grassroots grassrootsorganizing grassrootsorganizations grassrootsorganization newafrikanindependencemovement newafrikans newafrikanguerrillas georgejacksongrassrootsmovement georgejackson georgejacksonquotes georgejacksonuniversity georgejacksonradio newafrikanpoliticalprisoners freeallpoliticalprisoners politicalprisonersofwar communityorganizations communityorganizing communityorganizer soledadbrothers transformingthecriminalmindintoarevolutionarymind turningcagesintouniversities viralpage viralpages viralpost viralpost viralinstagram explorepage organization organizing communityorganization
87,validate,"Ukrainian President Volodymyr Zelensky has called on Russia to meet, saying ""it's time to talk”.

His appeal came as fierce fighting continued, 23 days after Russia launched its full-scale invasion. @bbcnews 

#Zelensky #Russia #Ukraine #Moscow #BBCNews #UkraineUnderAttack #UkraineRussia #president #vp #joebiden #StandWithUkriane #kamalaharris #nancypelosi #chuckschumer #filibuster #votevets #DNC",neutral,positive,neutral-positive,urgency,"Ukrainian President Volodymyr Zelensky has called on Russia to meet saying ""it's time to talk” His appeal came as fierce fighting continued 23 days after Russia launched its full scale invasion bbcnews Zelensky Russia Ukraine Moscow BBCNews UkraineUnderAttack UkraineRussia president vp joebiden StandWithUkriane kamalaharris nancypelosi chuckschumer filibuster votevets DNC"
89,validate,#kama_mar_beats #pdxhiphop #unburdened #hawaiianhiphop #beatmakers #producer #akaimpc #pdxprotests #practice #protests #theriverflowsonward #cultívate #conciousculture #instrumental #fuckhippies #fuckproudboys #fuck12 #nowallsnodoorsnogenres #hilohawaii #portlandoregon #bigisland #takemeawayfromhere #detroitprotests #destroy #rebuild #repurpose,negative,neutral,negative-neutral,uncommon tokens,kama mar beats pdxhiphop unburdened hawaiianhiphop beatmakers producer akaimpc pdxprotests practice protests theriverflowsonward cultívate conciousculture instrumental fuckhippies fuckproudboys fuck12 nowallsnodoorsnogenres hilohawaii portlandoregon bigisland takemeawayfromhere detroitprotests destroy rebuild repurpose
90,validate,The filibuster has made national news in recent days. It’s a controversial tool tied to a long history of oppression of women and communities of color. It’s important to acknowledge this history and make essential reform. Progress should never be stalled. #filibuster #lwvfairlawn,positive,negative,positive-negative,urgency,The filibuster has made national news in recent days It’s a controversial tool tied to a long history of oppression of women and communities of color It’s important to acknowledge this history and make essential reform Progress should never be stalled filibuster lwvfairlawn
94,validate,"#Repost @inclusive.freedom
• • • • • •
""Those who do not move will never feel their chains.""

.
.
.
.
.
#blacklivesmatter #justice #systemicracism
#nojustice #noracism #antiracism  #endpolicebrutality #endracism
#racisminamerica #blmmovement
#beapartofthesolution #community #violence#protest #blm #georgefloyd #policebrutality #racism #breonnataylor
#nojusticenopeace  #icantbreathe#letstalkaboutracism #blackhistory #discrimination #freedom #diversity #unity #solidarity #saynotoracism",negative,neutral,negative-neutral,gold uncertainty,"Repost inclusive freedom • • • • • • ""Those who do not move will never feel their chains ""   blacklivesmatter  justice  systemicracism nojustice  noracism antiracism  endpolicebrutality  endracism racisminamerica  blmmovement beapartofthesolution  community violence protest  blm  georgefloyd  policebrutality  racism  breonnataylor nojusticenopeace  icantbreathe letstalkaboutracism  blackhistory  discrimination  freedom  diversity  unity  solidarity  saynotoracism"
97,validate,"Our neighbor is in need of aid! Share if you can’t afford to send money <U+0001F49A>

—

#ImageDescription #AltText 
A flyer with a blue-gray background has an image of some soft blue flower-heads at the center. Glowing white words arch around the bouquet: “Black Disabled Trans Femme
Seeking Safe Housing & Support”

Lined up underneath this in regular white text reads:
“CashApp $m4ges
Venmo @ m4ges
KO-FI ko-fi.com/mages

She has chosen to stay anonymous and is seeking emergency safety, housing, and financial support to help her get out of the traumatic & abusive environment they currently are in.

MUTUAL AID GOAL $3333”",neutral,positive,neutral-positive,urgency,Our neighbor is in need of aid ! Share if you can’t afford to send money U+0001F49A — ImageDescription AltText A flyer with a blue gray background has an image of some soft blue flower heads at the center Glowing white words arch around the bouquet “Black Disabled Trans Femme Seeking Safe Housing & Support” Lined up underneath this in regular white text reads “CashApp $m4ges Venmo m4ges KO FI ko fi com mages She has chosen to stay anonymous and is seeking emergency safety housing and financial support to help her get out of the traumatic & abusive environment they currently are in MUTUAL AID GOAL $3333”
0,test,"<U+0001F389>EXCITING UPDATE <U+0001F389>

Join us TOMORROW, January 14, 2022 at 3:15 PM to learn more about applying for FY 2023 New York City Council Discretionary Funding from @kamillahmhanks Council Member-D49 Director of Budget & Legislation, Paul Casali  AND Council Member @cmdavidcarr ‘s Deputy Director of Budget Loren Marie Centineo

<U+203C><U+FE0F>We are incredibly grateful to have representatives from both Council Members offices<U+203C><U+FE0F>

Register Now: https://bit.ly/NYCityCouncilFundingInfoSession. 

A link to join the meeting will be sent afterwards.

The Application is officially open. You can apply for discretionary funding from now through Tuesday, February 22, 2020. 

The application is available here: https://council.nyc.gov/budget/fiscal-year-2023-discretionary-funding-expense-application-filing-period
.
.
#sinfpa #sicoad #statenisland #siny #nyc #newyork #newyorkcity #citycouncil #citycouncilmembers #kamillahhanks #budget #legislation #director #davidcarr #deputyDirector #communityorganizations #funding #citydiscretionary #fy2023 #nonprofits",positive,neutral,positive-neutral,suggestion,U+0001F389 EXCITING UPDATE U+0001F389 Join us TOMORROW January 14 2022 at 3 15 PM to learn more about applying for FY 2023 New York City Council Discretionary Funding from kamillahmhanks Council Member D49 Director of Budget & Legislation Paul Casali AND Council Member cmdavidcarr ‘s Deputy Director of Budget Loren Marie Centineo U+203C U+FE0F We are incredibly grateful to have representatives from both Council Members offices U+203C U+FE0F Register Now https bit ly NYCityCouncilFundingInfoSession A link to join the meeting will be sent afterwards The Application is officially open You can apply for discretionary funding from now through Tuesday February 22 2020 The application is available here https council nyc gov budget fiscal year 2023 discretionary funding expense application filing period sinfpa sicoad statenisland siny nyc newyork newyorkcity citycouncil citycouncilmembers kamillahhanks budget legislation director davidcarr deputyDirector communityorganizations funding citydiscretionary fy2023 nonprofits
2,test,"3...2...1...MJT!!!
The spirit is strong with our boys. DM to join the club. 

#melawatijuniortigers
#mjtfc
#grassrootsfootball
#grassroots
#malaysiagrassroots
#akarumbi
#footballmalaysia
#FAMgrassroots",positive,neutral,positive-neutral,uncommon tokens,3 2 1 MJT ! ! ! The spirit is strong with our boys DM to join the club  melawatijuniortigers mjtfc grassrootsfootball grassroots malaysiagrassroots akarumbi footballmalaysia FAMgrassroots
3,test,"I remember a few years ago a friend mentioned how he spent $200+ a month on coffee. Coffee is something most white folks build into their budget, but how many are doing the same for mutual aid? Of the hundreds of dollars a month spent on coffee, how simple would it be to dedicate $15 to Gabriella’s Patreon? This doesn’t require arduous amounts of labor or money, just an easy shift from self-indulgence into commitment to Gabriella’s life. Coffee drinkers, here is your challenge to prioritize the truly important things. If you don’t drink coffee, what can you shift in your budget? Maybe you have multiple streaming services and could cancel one to use that money for the Patreon. The goal needs to be met.

This post was created by one of the white folks who assists Gabriella with this account.

#mutualaid #wealthredistribution #communitycare #alliesstepup #protectblackwomen #patreon #gofundme #reparations #suicideprevention",negative,positive,negative-positive,suggestion,I remember a few years ago a friend mentioned how he spent $200+ a month on coffee Coffee is something most white folks build into their budget but how many are doing the same for mutual aid? Of the hundreds of dollars a month spent on coffee how simple would it be to dedicate $15 to Gabriella’s Patreon? This doesn’t require arduous amounts of labor or money just an easy shift from self indulgence into commitment to Gabriella’s life Coffee drinkers here is your challenge to prioritize the truly important things If you don’t drink coffee what can you shift in your budget? Maybe you have multiple streaming services and could cancel one to use that money for the Patreon The goal needs to be met This post was created by one of the white folks who assists Gabriella with this account mutualaid wealthredistribution communitycare alliesstepup protectblackwomen patreon gofundme reparations suicideprevention
4,test,"Addressing members of Congress via video link, Ukrainian President Volodymyr Zelenskyy issued an emotional plea for increased defense support to Ukraine.<U+2060>
<U+2060>
""This is a terror that Europe has not seen, has not seen for 80 years and we are asking for a reply for an answer, to this terror from the whole world,"" he said Wednesday through a translator.<U+2060>
<U+2060>
Speaking to a packed auditorium of House and Senate members, Zelenskyy thanked President Biden for the relief aid the U.S. has already provided but went on to ask for more military assistance for Ukraine and economic sanctions against Russia.<U+2060>
<U+2060>
""I call on you to do more, new packages of sanctions are needed constantly every week until the Russian military machine stops,"" Zelenskyy said.<U+2060>

Biden responded just hours later, thanking Zelenskyy for his address and pledging to send an additional $800 million to Ukraine to boost security measures. This is in addition to $200 million in military aid to Ukraine Biden sent on Sunday.

Wednesday's aid package includes 800 anti-aircraft systems, 9,000 shoulder-mounted anti-armor missile systems to destroy tanks, 7,000 small arms, including guns and grenade launchers, and 20 million rounds of ammunition, Biden said. He said drones were also included but he did not provide details.

Zelenskyy also called for the U.S. to impose a no-fly zone over Ukraine, a request the White House has already rejected for fear it would escalate international tension with Russia. In pleading for the no-fly zone, he played a produced video showing dramatic footage of the war’s human toll. The video ended with the words: ""close the sky over Ukraine."" @NPR 
<U+0001F449> PatrioticDemocrat2021.com

#Ukraine #Russia #UkraineUnderAttack #UkraineRussia #president #vp #joebiden #StandWithUkriane #ukraine #kamalaharris #president #nancypelosi #chuckschumer #filibuster #votevets #DNC",negative,positive,negative-positive,gold uncertainty,"Addressing members of Congress via video link Ukrainian President Volodymyr Zelenskyy issued an emotional plea for increased defense support to Ukraine U+2060 U+2060 ""This is a terror that Europe has not seen has not seen for 80 years and we are asking for a reply for an answer to this terror from the whole world "" he said Wednesday through a translator U+2060 U+2060 Speaking to a packed auditorium of House and Senate members Zelenskyy thanked President Biden for the relief aid the U S has already provided but went on to ask for more military assistance for Ukraine and economic sanctions against Russia U+2060 U+2060 ""I call on you to do more new packages of sanctions are needed constantly every week until the Russian military machine stops "" Zelenskyy said U+2060 Biden responded just hours later thanking Zelenskyy for his address and pledging to send an additional $800 million to Ukraine to boost security measures This is in addition to $200 million in military aid to Ukraine Biden sent on Sunday Wednesday's aid package includes 800 anti aircraft systems 9 000 shoulder mounted anti armor missile systems to destroy tanks 7 000 small arms including guns and grenade launchers and 20 million rounds of ammunition Biden said He said drones were also included but he did not provide details Zelenskyy also called for the U S to impose a no fly zone over Ukraine a request the White House has already rejected for fear it would escalate international tension with Russia In pleading for the no fly zone he played a produced video showing dramatic footage of the war’s human toll The video ended with the words ""close the sky over Ukraine "" NPR U+0001F449 PatrioticDemocrat2021 com Ukraine Russia UkraineUnderAttack UkraineRussia president vp joebiden StandWithUkriane ukraine kamalaharris president nancypelosi chuckschumer filibuster votevets DNC"
5,test,"Did you know that bidding for the online auction is ANONYMOUS? Only bidder numbers will be shown so you don't have to worry about someone seeing you buy their birthday present <U+0001F602>

Register to bid at 32auctions.com/CNFA2021!

#thecountdownison #fundraiser #onlineauction #CNFA #nurses #canadiancharity #GrassRoots #internationalaid",neutral,positive,neutral-positive,advertising,Did you know that bidding for the online auction is ANONYMOUS? Only bidder numbers will be shown so you don't have to worry about someone seeing you buy their birthday present U+0001F602 Register to bid at 32auctions com CNFA2021 ! thecountdownison fundraiser onlineauction CNFA nurses canadiancharity GrassRoots internationalaid
6,test,"Reposted from: @nbcasianamerica @withregram • With winter comes isolation and food insecurity for lower-income Asian Americans. Community organizations are working to combat that.<U+2060>
<U+2060>
Rawnak Jahan, 63 years old, is an immigrant from Bangladesh. Her home in Queens, NY, is often covered in ice and snow in the winter. Leaving her house and trekking to the grocery store might seem daunting in itself, but with a recent back operation leaving her unable to walk, food access is even more complicated. She said she cannot cook because she cannot stand for long enough.<U+2060>
<U+2060>
Jahan, who came to the U.S. with her two children in 2015, relies on the community organization India Home to bring meals to her door. It’s not just sandwiches and canned goods, but food that reminds her of what she might make at home. <U+2060>
<U+2060>
Experts say the holidays can pose challenges for many in Jahan’s position, who have the need but don’t know where to turn for support. And a general lack of understanding about the wealth disparity that exists under the “Asian American” umbrella might keep resources out of their reach.<U+2060>
<U+2060>
“That is where you really help them feel seen, help them feel like they’re being treated with respect, with empathy,” said Deepti Sharma, who has worked in community food access for years.<U+2060>
<U+2060>
Read more in the link in bio.<U+2060>
<U+2060>
<U+0001F4F8>: Spencer Platt / Getty Images

#aapi #aapis #biggest #wealthgap #winter #isolation #foodinsecurity #lowerincome #asianamericans #communityorganizations #letshelpthem #itsagoodcause #foragoodcause #bringbacktothecommunity",negative,positive,negative-positive,urgency,Reposted from nbcasianamerica withregram • With winter comes isolation and food insecurity for lower income Asian Americans Community organizations are working to combat that U+2060 U+2060 Rawnak Jahan 63 years old is an immigrant from Bangladesh Her home in Queens NY is often covered in ice and snow in the winter Leaving her house and trekking to the grocery store might seem daunting in itself but with a recent back operation leaving her unable to walk food access is even more complicated She said she cannot cook because she cannot stand for long enough U+2060 U+2060 Jahan who came to the U S with her two children in 2015 relies on the community organization India Home to bring meals to her door It’s not just sandwiches and canned goods but food that reminds her of what she might make at home U+2060 U+2060 Experts say the holidays can pose challenges for many in Jahan’s position who have the need but don’t know where to turn for support And a general lack of understanding about the wealth disparity that exists under the “Asian American” umbrella might keep resources out of their reach U+2060 U+2060 “That is where you really help them feel seen help them feel like they’re being treated with respect with empathy ” said Deepti Sharma who has worked in community food access for years U+2060 U+2060 Read more in the link in bio U+2060 U+2060 U+0001F4F8 Spencer Platt Getty Images aapi aapis biggest wealthgap winter isolation foodinsecurity lowerincome asianamericans communityorganizations letshelpthem itsagoodcause foragoodcause bringbacktothecommunity
8,test,"Hello everyone, GCF’s After Hours Cafe is officially open!

Join us for a full days worth of Activities:

- Margaret’s Kitchen from 12 - 3 pm
- Tea talk - 3 - 5 pm
- game night 5 -7 pm

Open to all members, After Hours allows youth and seniors to interact and encourage overall health through interactions. Every Wednesday, we will have fun activities from 12 to 7 p.m. Join us!
.
.
.
.
#greatermontrealer #genesiscommunityfoundation #raisegcf #gcflife #montrealblackcommunity #montreal #canada #communityorganization #oldage #helpingseniors #connectingfamilies #nonprofit  #nonprofitinstagram #food #support #genesis #genesiscommunityfoundation #gcf #support #raise #foundation #leadership #dogood #buildingcommunitytogether #awareness #montreal #greatermontreal #quebec #raisegcf #morethanameal foodsecurity #volunteer #kitchen #communitykitchen #nfp #nonprofit",positive,neutral,positive-neutral,advertising,Hello everyone GCF’s After Hours Cafe is officially open ! Join us for a full days worth of Activities  Margaret’s Kitchen from 12 3 pm Tea talk 3 5 pm game night 5 7 pm Open to all members After Hours allows youth and seniors to interact and encourage overall health through interactions Every Wednesday we will have fun activities from 12 to 7 p m Join us !  greatermontrealer genesiscommunityfoundation raisegcf gcflife montrealblackcommunity montreal canada communityorganization oldage helpingseniors connectingfamilies nonprofit nonprofitinstagram food support genesis genesiscommunityfoundation gcf support raise foundation leadership dogood buildingcommunitytogether awareness montreal greatermontreal quebec raisegcf morethanameal foodsecurity volunteer kitchen communitykitchen nfp nonprofit
9,test,"Gamer chair has a massage pillow powered by USB and I am delighting in it while reading a fantastic magazine. Proud union members get a free subscription, and I am truly enjoying it while listening to the @dnalounge live stream.  #inthesetimes #socialmovements #laborrights #currentpolitics #unionstrong",positive,neutral,positive-neutral,enthusiasm,Gamer chair has a massage pillow powered by USB and I am delighting in it while reading a fantastic magazine Proud union members get a free subscription and I am truly enjoying it while listening to the dnalounge live stream inthesetimes socialmovements laborrights currentpolitics unionstrong
13,test,"Here are the 3 main themes of our #BMHConf that will take place @uOttawa in Oct. 
1. Social determinants and racial issues
2. Mental health promotion and mental illness prevention
3. Mental health innovations and interventions
We invite #Researchers , #Students , #CommunityOrganizations & #Leaders to submit proposals via this link before April 30th! We want to learn from you! black-mental.sciencesconf.org 

<U+0001F9E0><U+0001F64C>

Voici les 3 thèmes principaux de notre #Colloque sur la #SanteMentaleDesNoirs qui prendra lieu @uOttawa en oct. 
1. Les déterminants sociaux et les enjeux raciaux
2. Promotion de la santé mentale et prévention des maladies mentales
3. Innovations et interventions en santé mentale
Nous invitons les #Chercheurs , #Étudiants , #OrganisationsCommunautaires et #Leaders à soumettre des propositions avant le 30 avril! Nous voulons apprendre de vous! black-mental.sciencesconf.org",neutral,positive,neutral-positive,advertising,Here are the 3 main themes of our BMHConf that will take place uOttawa in Oct 1 Social determinants and racial issues 2 Mental health promotion and mental illness prevention 3 Mental health innovations and interventions We invite Researchers Students CommunityOrganizations & Leaders to submit proposals via this link before April 30th ! We want to learn from you ! black mental sciencesconf org U+0001F9E0 U+0001F64C Voici les 3 thèmes principaux de notre Colloque sur la SanteMentaleDesNoirs qui prendra lieu uOttawa en oct 1 Les déterminants sociaux et les enjeux raciaux 2 Promotion de la santé mentale et prévention des maladies mentales 3 Innovations et interventions en santé mentale Nous invitons les Chercheurs Étudiants OrganisationsCommunautaires et Leaders à soumettre des propositions avant le 30 avril ! Nous voulons apprendre de vous ! black mental sciencesconf org
18,test,"AffNetz Vision - Serving organizations that serve our communities.
For more information please visit:- https://affnetz.com/
.
.
.
#organizations #affnetz #affnetzsoftware #serving #serve #nonprofitcrm #vision #services #business #leadership #CRM #data #entrepreneur #positive #communities #communityorganizations #organizationservices #organizationstrategy #nonprofitorganizations #communityservice #nonprofits #nonprofitorganization #communityoutreach #nonprofitwork #eventsmanagement",neutral,positive,neutral-positive,advertising,AffNetz Vision Serving organizations that serve our communities For more information please visit https affnetz com  organizations affnetz affnetzsoftware serving serve nonprofitcrm vision services business leadership CRM data entrepreneur positive communities communityorganizations organizationservices organizationstrategy nonprofitorganizations communityservice nonprofits nonprofitorganization communityoutreach nonprofitwork eventsmanagement
21,test,#moscowmitch #ukraine #russia #oligarch #russianaluminium #filibuster #ussenate #senator #minorityleadermcconnell #mitchmcconnell #trump #trumpadministration #2019 #neverforget #kentucky #shepardfairey #banksyartwork #tristaneaton #chuckclose #chali2na #mrchuckd_pe #mrchuckd,negative,positive,negative-positive,uncommon tokens,moscowmitch ukraine russia oligarch russianaluminium filibuster ussenate senator minorityleadermcconnell mitchmcconnell trump trumpadministration 2019 neverforget kentucky shepardfairey banksyartwork tristaneaton chuckclose chali2na mrchuckd pe mrchuckd
22,test,"#Picnic spot of #GodiMedia is turning ugly every passing day. There was already a huge mess of #sewer and #waste disposal at Kundli-Singhu borders. Growing number of #protestors lead to increase in the choking of naalas and sewerage! 
It is actually a picnic for the billions of flies and mosquitos!!

Thanks to @dailypostpunjabi.in for covering it! <U+0001F64F>

#kisanektazindabaad #kisaanmajdoorektazindabad #inquilabzindabad #farmer #protest #toilet #swachhkisanmorcha #novotetobjp",negative,positive,negative-positive,urgency,Picnic spot of GodiMedia is turning ugly every passing day There was already a huge mess of sewer and waste disposal at Kundli Singhu borders Growing number of protestors lead to increase in the choking of naalas and sewerage ! It is actually a picnic for the billions of flies and mosquitos ! ! Thanks to dailypostpunjabi in for covering it ! U+0001F64F kisanektazindabaad kisaanmajdoorektazindabad inquilabzindabad farmer protest toilet swachhkisanmorcha novotetobjp
31,test,"""Those who do not move will never feel their chains.""

.
.
.
.
.
#blacklivesmatter #justice #systemicracism
#nojustice #noracism #antiracism  #endpolicebrutality #endracism
#racisminamerica #blmmovement
#beapartofthesolution #community #violence#protest #blm #georgefloyd #policebrutality #racism #breonnataylor
#nojusticenopeace #defundpolice #icantbreathe#letstalkaboutracism #blackhistory #discrimination #freedom #diversity #unity #solidarity #saynotoracism",negative,neutral,negative-neutral,uncommon tokens,"""Those who do not move will never feel their chains ""   blacklivesmatter  justice  systemicracism nojustice  noracism antiracism  endpolicebrutality  endracism racisminamerica  blmmovement beapartofthesolution  community violence protest  blm  georgefloyd  policebrutality  racism  breonnataylor nojusticenopeace  defundpolice icantbreathe letstalkaboutracism  blackhistory  discrimination  freedom  diversity  unity  solidarity  saynotoracism"
33,test,"2020 The Lost Year

Pictures @joevaron and others unknown

#2020 #2020inreview #covid #doctors #nurses #essentialworkers #pandemic #worldwide #georgefloyd #protests #protests2020 #kidsincages #nokidsincages #gettyimages #photography #blackandwhitephotography #2020elections #latinovote",negative,neutral,negative-neutral,uncommon tokens,2020 The Lost Year Pictures joevaron and others unknown 2020 2020inreview covid doctors nurses essentialworkers pandemic worldwide georgefloyd protests protests2020 kidsincages nokidsincages gettyimages photography blackandwhitephotography 2020elections latinovote
35,test,"Today we are celebrating World Water Day 2022. It is a day that raises awareness about the people living without access to safe water.

Let's support access to safe water for all people.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#projectsomesha#projectsomeshaconversation#water #worldwaterday #worldwaterdaymarch22 #worldwaterday2022#safe#water#for#all#organizations #nonprofitorganizations #organizationsolutions #internationalorganizations #communityorganizations #organizationsupport#sanitation #sanitationforall #sanitationpractices #sanitationproject",negative,positive,negative-positive,gold uncertainty,Today we are celebrating World Water Day 2022 It is a day that raises awareness about the people living without access to safe water Let's support access to safe water for all people       projectsomesha projectsomeshaconversation water worldwaterday worldwaterdaymarch22 worldwaterday2022 safe water for all organizations nonprofitorganizations organizationsolutions internationalorganizations communityorganizations organizationsupport sanitation sanitationforall sanitationpractices sanitationproject
36,test,"It’s just 2 weeks to flatten the curve,  what’s the big deal? It’s just a mask man, don’t you care about other people? <U+0001F644><U+0001F644><U+0001F644>

Follow me, like, comment, share and save<U+2764><U+FE0F>

#nofear #factsoverfear #loveoverfear #nursesagainstlockdowns #liftthelockdown #nomask #herdimmunity #thegreatbarringtondeclaration #thegreaterreset #justsayno #lifebeforecovid19 #healthylifestyle #exercise #family #friends #fitnessmotivation #hugsovermasks #weareallinthistogether #fightthepower #governmentcorruption #protests #sciencefiction #covid1984 #wakeupsheeple #riseuptogether #wewillgetthroughthis",negative,neutral,negative-neutral,gold uncertainty,It’s just 2 weeks to flatten the curve what’s the big deal? It’s just a mask man don’t you care about other people? U+0001F644 U+0001F644 U+0001F644 Follow me like comment share and save U+2764 U+FE0F nofear factsoverfear loveoverfear nursesagainstlockdowns liftthelockdown nomask herdimmunity thegreatbarringtondeclaration thegreaterreset justsayno lifebeforecovid19 healthylifestyle exercise family friends fitnessmotivation hugsovermasks weareallinthistogether fightthepower governmentcorruption protests sciencefiction covid1984 wakeupsheeple riseuptogether wewillgetthroughthis
37,test,"LOW OCCUPIED. 

Perhaps the single most defining moment which brought the 1996 strike to a completely different level was the famous (or “infamous”) Low Library occupation and arrests.

Around 4:15pm on April 9th, 1996, 100+ students marched into Low, the then main administrative building of Columbia University, to demand immediate action. Administrators, unresponsive and oddly quiet until the 9th day, went into a meeting with representatives while the support rally of nearly a 100 protestors remained at the Rotunda. 

***For Day 9-10, more photos will be shared via new posts. The number of photos documented escalate steeply for these events, where evey hour has is a historical turnaround. I want to give each step of the protests credit.

Photo Credits to @columbiaspec, photographers Jesse Kiendi & Sharon Nikfarjam.

#occupy #studentprotest #studentoccupation #protests #columbiauniversity #nypd #lowmemoriallibrary #columbia #activism #studentactivism #ethnicstudies #ethnicstudiesnow<U+270A><U+0001F3FD>",neutral,positive,neutral-positive,enthusiasm,LOW OCCUPIED Perhaps the single most defining moment which brought the 1996 strike to a completely different level was the famous (or “infamous”) Low Library occupation and arrests Around 4 15pm on April 9th 1996 100+ students marched into Low the then main administrative building of Columbia University to demand immediate action Administrators unresponsive and oddly quiet until the 9th day went into a meeting with representatives while the support rally of nearly a 100 protestors remained at the Rotunda ***For Day 9 10 more photos will be shared via new posts The number of photos documented escalate steeply for these events where evey hour has is a historical turnaround I want to give each step of the protests credit Photo Credits to columbiaspec photographers Jesse Kiendi & Sharon Nikfarjam occupy studentprotest studentoccupation protests columbiauniversity nypd lowmemoriallibrary columbia activism studentactivism ethnicstudies ethnicstudiesnow U+270A U+0001F3FD
42,test,"<U+200B>Saviez-vous que grâce au financement de la fondation CIUSS, en 2021 les deux Tables jeunesse (CDN et NDG) ont été approchées pour voir s'il était possible de promouvoir un projet qui porterait sur le deuil et d'organiser des activités qui donneraient aux jeunes un espace pour discuter des diverses pertes qu'ils ont subies au cours de la pandémie?
<U+200B>
<U+200B>Ce n'est qu'un des nombreux projets d'engagement communautaire auxquels Prévention CDN NDG a participé l'année dernière. Rejoignez-nous demain (24 mars à 13h30) lors de notre AGA pour savoir ce que nous avons fait d'autre !
<U+200B>
<U+200B>Le lien Zoom pour la réunion est dans notre bio -
<U+200B>
<U+200B>Did you know that, thanks to funding from the CIUSS foundation, in 2021 the two Youth Tables (CDN and NDG) were approached to see if it would be possible to promote a project that would focus on bereavement and organize activities that would give young people a space to discuss the various losses they have suffered over the pandemic?
<U+200B>
<U+200B>That's just one of a variety of community engagement projects Prevention CDN NDG participated in last year. Join us tomorrow (March 24th at 1:30 pm ) at our AGM  to learn what else we've been up to! 
<U+200B>
<U+200B>The Zoom link for the meeting is in our bio -
<U+200B>
<U+200B>
<U+200B>#aga #agm #communityorganization #adaptingtochange #covid #covid19  #pandémie #pandemicfatigue #covidfatigue #grief #workshopsforyout #atelierspourlesjeunes #communityworkshops #communityengagement #crimeprevention #communityoutreach <U+200B>#organismescommunautaires #preventioncdnndg",positive,negative,positive-negative,suggestion,U+200B Saviez vous que grâce au financement de la fondation CIUSS en 2021 les deux Tables jeunesse (CDN et NDG) ont été approchées pour voir s'il était possible de promouvoir un projet qui porterait sur le deuil et d'organiser des activités qui donneraient aux jeunes un espace pour discuter des diverses pertes qu'ils ont subies au cours de la pandémie? U+200B U+200B Ce n'est qu'un des nombreux projets d'engagement communautaire auxquels Prévention CDN NDG a participé l'année dernière Rejoignez nous demain (24 mars à 13h30) lors de notre AGA pour savoir ce que nous avons fait d'autre ! U+200B U+200B Le lien Zoom pour la réunion est dans notre bio U+200B U+200B Did you know that thanks to funding from the CIUSS foundation in 2021 the two Youth Tables (CDN and NDG) were approached to see if it would be possible to promote a project that would focus on bereavement and organize activities that would give young people a space to discuss the various losses they have suffered over the pandemic? U+200B U+200B That's just one of a variety of community engagement projects Prevention CDN NDG participated in last year Join us tomorrow (March 24th at 1 30 pm ) at our AGM to learn what else we've been up to ! U+200B U+200B The Zoom link for the meeting is in our bio U+200B U+200B U+200B aga agm communityorganization adaptingtochange covid covid19   pandémie pandemicfatigue covidfatigue grief workshopsforyout atelierspourlesjeunes communityworkshops communityengagement crimeprevention communityoutreach U+200B organismescommunautaires preventioncdnndg
46,test,"RePosted • @moveon The House got a lot done in 2021 by passing over 200 critical bills. NONE of them have become law because of the #filibuster. 

#onlyinamerica 
.
via @rbreich",negative,neutral,negative-neutral,urgency,RePosted • moveon The House got a lot done in 2021 by passing over 200 critical bills NONE of them have become law because of the filibuster  onlyinamerica via rbreich
