,description,sentiment,predicted
86,"<U+0001F409> <U+0001F525>Follow the official @georgejacksongrassroots movement page now!

.
.
#grassroots 
#grassrootsorganizing 
#grassrootsorganizations 
#grassrootsorganization 
#newafrikanindependencemovement 
#newafrikans
#newafrikanguerrillas 
#georgejacksongrassrootsmovement
#georgejackson 
#georgejacksonquotes 
#georgejacksonuniversity 
#georgejacksonradio 
#newafrikanpoliticalprisoners 
#freeallpoliticalprisoners 
#politicalprisonersofwar
#communityorganizations 
#communityorganizing 
#communityorganizer 
#soledadbrothers 
#transformingthecriminalmindintoarevolutionarymind 
#turningcagesintouniversities 
#viralpage
#viralpages
#viralpost 
#viralpost
#viralinstagram 
#explorepage
#organization 
#organizing 
#communityorganization",neutral,positive
87,"Ukrainian President Volodymyr Zelensky has called on Russia to meet, saying ""it's time to talk”.

His appeal came as fierce fighting continued, 23 days after Russia launched its full-scale invasion. @bbcnews 

#Zelensky #Russia #Ukraine #Moscow #BBCNews #UkraineUnderAttack #UkraineRussia #president #vp #joebiden #StandWithUkriane #kamalaharris #nancypelosi #chuckschumer #filibuster #votevets #DNC",neutral,negative
88,"I don’t have a green thumb sooo...painted tulips <U+0001F337>virtually with patrons of the Fairfield Library this afternoon! 

Support your local library!

Schedule a session for your library, YMCA, senior center or community group!  https://www.expressyourselfstudiosllc.com
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#ArtistinResidency, #artenrichment #workshops #groups #schools #communityorganizations #librariesrock #libraryprogram #librarylife #librarytime #libraryday #librarielove #loveyourlibrary",positive,negative
89,#kama_mar_beats #pdxhiphop #unburdened #hawaiianhiphop #beatmakers #producer #akaimpc #pdxprotests #practice #protests #theriverflowsonward #cultívate #conciousculture #instrumental #fuckhippies #fuckproudboys #fuck12 #nowallsnodoorsnogenres #hilohawaii #portlandoregon #bigisland #takemeawayfromhere #detroitprotests #destroy #rebuild #repurpose,negative,positive
90,The filibuster has made national news in recent days. It’s a controversial tool tied to a long history of oppression of women and communities of color. It’s important to acknowledge this history and make essential reform. Progress should never be stalled. #filibuster #lwvfairlawn,positive,neutral
91,"Independent contractors don’t have to “go it alone” with legal planning. Whether you are a start-up or need updated documents, schedule a free assessment to get the support you need to protect your business.

Call (540) 692-9790 today to setup a free consultation or visit link in bio.

#glenlochlegal
#wills
#smallbusiness
#familyandbusinessplanning
#businessadvice
#communityorganizations
#winchesterva
#law",neutral,negative
92,#olderandwiser #seniorprogramming #senioractivities #workshops #workshopsforseniors #joy #findyourbliss #liveyourtruth #community #communityoutreach #informationseries #ndg #virtualworkshops #montreal #montrealworkshops #nonprofit #notforprofit #communityorganizations #communitycenters#preventioncdnndg,positive,neutral
94,"#Repost @inclusive.freedom
• • • • • •
""Those who do not move will never feel their chains.""

.
.
.
.
.
#blacklivesmatter #justice #systemicracism
#nojustice #noracism #antiracism  #endpolicebrutality #endracism
#racisminamerica #blmmovement
#beapartofthesolution #community #violence#protest #blm #georgefloyd #policebrutality #racism #breonnataylor
#nojusticenopeace  #icantbreathe#letstalkaboutracism #blackhistory #discrimination #freedom #diversity #unity #solidarity #saynotoracism",negative,neutral
95,"A very special thank you to @deltabingoandgaming for their continued support of LDAPR and their families. Because of funders like Delta Bingo and Gaming, we can make a difference in the lives of those living with learning disabilities. Thank you for your generosity and care for our community!

#deltabingoandgaming #support #community #thankyou #academicsupport #programming #learningdisabilities #learningisfun #communityorganization #regionofpeel #peelregion #mississauga #brampton #caledon  #LDAPR  #Neurodiversity #neurodivergence #adhd #asd #autism #ldawareness #dyslexia #dyspraxia #dyscalcula #learningdifferently #learningyourway",positive,neutral
96,"The latest editorial cartoon by Michael de Adder<U+0001F3A8><U+2060>
<U+2060>
How would you caption this? Let us know in the comments and visit the link in our bio to see more!<U+2060>
Also, don't forget to:<U+2060>
<U+0001F514>Turn on post notifications<U+2060>
<U+0001F4F2>Check our Stories for more content",neutral,positive
97,"Our neighbor is in need of aid! Share if you can’t afford to send money <U+0001F49A>

—

#ImageDescription #AltText 
A flyer with a blue-gray background has an image of some soft blue flower-heads at the center. Glowing white words arch around the bouquet: “Black Disabled Trans Femme
Seeking Safe Housing & Support”

Lined up underneath this in regular white text reads:
“CashApp $m4ges
Venmo @ m4ges
KO-FI ko-fi.com/mages

She has chosen to stay anonymous and is seeking emergency safety, housing, and financial support to help her get out of the traumatic & abusive environment they currently are in.

MUTUAL AID GOAL $3333”",neutral,positive
99,"Have you updated your will to meet your current wishes? Take time today to make sure your wishes are carried out. 
Call (540) 692-9790 today to setup a free consultation or visit link in bio.

#glenlochlegal
#wills
#familyandbusinessplanning
#businessadvice
#communityorganizations
#winchesterva
#law

#glenlochlegal",neutral,negative
